,Location,Council,Postcode or identifying number (if given),Date figures start from,Date of reply/figures correct to,Days covered,Total PCNs,PCNs 2015-16,Gross income since switched on,Gross income per day,PCNs per day,Gross income 2015-16,Amount charged,Discount for early pay,Any further penalty?,Notes
514,Havelock Place Jctn Greenhill Way Service Road,Harrow,029M,,13/01/2017,,1,,£0.00,,,,130,65,,
515,Pinner Road,Harrow,33,,13/01/2017,,"2,298",,"£126,126.00",,,,130,65,,
516,Corner of Headstone Gardens/ Harrow view,Harrow,41,,13/01/2017,,4,,£310.00,,,,130,65,,
517,Opp High Worple Alexandra Avenue,Harrow,46,,13/01/2017,,1,,£60.00,,,,130,65,,
518,Corner warden avenue/ Alexandra Avenue,Harrow,47,,13/01/2017,,1,,£50.00,,,,130,65,,
519,Jct Alexandra Avenue / Eastcote lane,Harrow,48,,13/01/2017,,3,,£120.00,,,,130,65,,
520,Sheepcote Rd Junct Bonnersfield,Harrow,051M,,13/01/2017,,5,,£120.00,,,,130,65,,
521,Station Road (Wdlnds-Fairholm),Harrow,53,,13/01/2017,,266,,"£17,933.00",,,,130,65,,
522,Station Rd(Dominion Parade),Harrow,54,,13/01/2017,,1,,£50.00,,,,130,65,,
523,Station Rd(RailApp-Milton),Harrow,058B,,13/01/2017,,2,,£120.00,,,,130,65,,
524,"Byron Road, Wealdstone - at junction with Masons Avenue OS 92 Masons Ave",Harrow,60,,13/01/2017,,1,,£65.00,,,,130,65,,
525,Railway App(Bridge-Marlb),Harrow,061M,,13/01/2017,,6,,£360.00,,,,130,65,,
526,High St (Bridge - CanningRd),Harrow,62,,13/01/2017,,19,,"£1,230.00",,,,130,65,,
527,High St (Canning Rd-Spencer Rd,Harrow,66,,13/01/2017,,1,,£0.00,,,,130,65,,
528,High St (Canning-Locket),Harrow,67,,13/01/2017,,2,,£120.00,,,,130,65,,
529,High St junct George G Way,Harrow,067M,,13/01/2017,,1,,£0.00,,,,130,65,,
530,HEADSTONE LANE,Harrow,097M,,13/01/2017,,3,,£120.00,,,,130,65,,
531,Burnt Oak Outside Abbey National jnc of The Highlands,Harrow,100,,13/01/2017,,2,,£65.00,,,,130,65,,
532,Honeypot Lane opposite Selco Builders,Harrow,103,,13/01/2017,,5,,£300.00,,,,130,65,,
533,Streatfield Road near the Telephone Box by the toilets / Triple K grocery,Harrow,108,,13/01/2017,,9,,£555.00,,,,130,65,,
534,Harrow Weald Bus Garage JCT long elms /high road – OS Wealdstone Inn,Harrow,109,,13/01/2017,,1,,£0.00,,,,130,65,,
535,Brooke Avenue / Northolt Road,Harrow,111,,13/01/2017,,7,,£375.00,,,,130,65,,
536,Northolt Rd- (BusStn-Witby),Harrow,113,,13/01/2017,,10,,£380.00,,,,130,65,,
537,Northolt Rd - T-ton to Alx Ave,Harrow,115,,13/01/2017,,9,,£622.00,,,,130,65,,
538,NortholT Rd(Strd-Alxdra),Harrow,116,,13/01/2017,,62,,"£4,322.00",,,,130,65,,
539,Somervell Rd Junct Alxdra,Harrow,116M,,13/01/2017,,2,,£60.00,,,,130,65,,
540,Northolt Rd- (Eastcote Lane),Harrow,B113,,13/01/2017,,9,,£570.00,,,,130,65,,
541,Northolt RD-SouthBound,Harrow,B116,,13/01/2017,,718,,"£43,920.00",,,,130,65,,
542,Station Rd-Safari Cinema,Harrow,B54,,13/01/2017,,9,,£630.00,,,,130,65,,
543,The Bridge,Harrow,MOV61,,13/01/2017,,7,,£325.00,,,,130,65,,
544,Gordon Road Junct High Street,Harrow,MOV66,,13/01/2017,,3,,£125.00,,,,130,65,,
545,CCTV Vehicle,Harrow,V01,,13/01/2017,,7,,£320.00,,,,130,65,,
546,Yeading Lane,Hillingdon,322,,06/02/2017,,,,,,,,130,65,,
547,Coldharbour Lane,Hillingdon,323,,06/02/2017,,,,,,,,130,65,,
548,Uxbridge Road (by-pass),Hillingdon,324,,06/02/2017,,,,,,,,130,65,,
549,Uxbridge Road (retail park),Hillingdon,325,,06/02/2017,,,,,,,,130,65,,
550,Mildmay Park,Islington,LW0598,01/04/2014,30/11/2016,974.0,505,0,,,0.5,,£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
551,Junction Road,Islington,LW0614,01/04/2014,30/11/2016,974.0,6395,2101,,,6.6,,£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
552,Essex Road N.1,Islington,LW0636,01/04/2015,30/11/2016,609.0,1515,659,,,2.5,,£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
553,Westgate,Kirklees,HD1 1NN,21/03/2016,14/11/2016,238.0,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
554,Kirkgate (eastbound),Kirklees,HD1 1QH,21/03/2016,14/11/2016,238.0,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
555,Kirkgate (westbound),Kirklees,HD1 1QH,21/03/2016,14/11/2016,238.0,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
556,Market Street (jn of Westgate),Kirklees,HD1 2ET,21/03/2016,14/11/2016,238.0,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
557,Market Street,Kirklees,HD1 2ET,21/03/2016,14/11/2016,238.0,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
558,St George's Square,Kirklees,HD1 1JF,21/03/2016,14/11/2016,238.0,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
559,High Street,Kirklees,HD1 2LE,21/03/2016,14/11/2016,238.0,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
560,Charles Street North,Leicester,LE1 1FB,01/07/2012,30/9/2016,1552.0,57557,6205,,,37.1,#REF!,£60.00,£30.00,"Discount if paid in 14 days, rises to £90 and £98 upon debt registration",
561,Causeway Lane,Leicester,LE1 4SX,01/07/2012,30/9/2016,1552.0,27419,3062,,,17.7,,£60.00,£30.00,"Discount if paid in 14 days, rises to £90 and £98 upon debt registration",
562,Rutland Street,Leicester,LE1 1RB,01/04/2016,30/9/2016,182.0,1882,0,,,10.3,£0.00,£60.00,£30.00,"Discount if paid in 14 days, rises to £90 and £98 upon debt registration",
563,Charles Street South,Leicester,LE1 3JA,01/04/2016,30/9/2016,182.0,1620,0,,,8.9,£0.00,£60.00,£30.00,"Discount if paid in 14 days, rises to £90 and £98 upon debt registration",
564,Lewisham High Street between the junctions of Albion Way and Limes Grove – SE13,Lewisham,,04/04/2005,09/01/2017,4298.0,,10226,,,0.0,"£628,351.67",,,,
565,Upper Green East,Merton,,2004,09/01/2017,,"14,466","2,552","£962,172.81",,,"£181,926.25",130,65,,
566,London Road opp Langdale Avenue,Merton,,01/10/2011,09/01/2017,1927.0,"12,184","1,708","£816,801.83",,6.3,"£121,582.63",130,65,,
567,The Broadway/ Queens Road,Merton,,2004,09/01/2017,,"8,500",648,"£605,150.26",,,"£47,073.00",130,65,,
568,London Road Victoria Road - Finborough Road,Merton,,2004,09/01/2017,,"1,768",630,"£123,443.28",,,"£46,258.11",130,65,,
569,Hartfield Road,Merton,,2004,09/01/2017,,"4,220",605,"£294,149.55",,,"£45,534.28",130,65,,
570,London Road along Figges Marsh,Merton,,2004,09/01/2017,,"3,295",604,"£205,968.53",,,"£39,865.32",130,65,,
571,Worple Road,Merton,,2004,09/01/2017,,"1,389",425,"£96,316.60",,,"£29,874.00",130,65,,
572,London Road opp Bond Road,Merton,,2004,09/01/2017,,"3,316",375,"£214,924.04",,,"£25,540.14",130,65,,
573,Wimbledon Hill Road,Merton,,2004,09/01/2017,,"3,572",305,"£244,722.60",,,"£21,770.00",130,65,,
574,London Road o/s Eagle House,Merton,,2004,09/01/2017,,442,48,"£28,142.08",,,"£4,236.85",130,65,,
575,Hartfield Road/Hartfield Crescent,Merton,,2004,09/01/2017,,"1,459",16,"£96,447.00",,,"£1,769.00",130,65,,
576,Great Eastern Road/Meridian Sq E15,Newham,4010,01/10/2009,30/11/2016,2617.0,"6,140",6131,,,,,130,65,,
577,Barking Road/Jnc St Olaves Rd E6,Newham,177,01/10/2009,30/11/2016,2617.0,"5,216",,,,,,130,65,,
578,Romford Road/Jnc Carlton Rd,Newham,2158,01/10/2009,30/11/2016,2617.0,"4,518",,,,,,130,65,,
579,Barking Road/Jnc Morgan St E16,Newham,3025,01/10/2009,30/11/2016,2617.0,"3,112",1799,,,,,130,65,,
580,Romford Road/Jnc Little Ilford Lane,Newham,127,01/10/2009,30/11/2016,2617.0,"2,804",,,,,,130,65,,
581,Barking Road/Jnc St Martins Ave,Newham,2306,01/10/2009,30/11/2016,2617.0,"2,567",,,,,,130,65,,
582,Barking Road/Jnc Augers Lane,Newham,2303,01/10/2009,30/11/2016,2617.0,"1,558",,,,,,130,65,,
583,Barking Road/Jnc Keppel Rd E6,Newham,7002,01/10/2009,30/11/2016,2617.0,"1,476",,,,,,130,65,,
584,Barking Road/Jnc Keppel Rd,Newham,2,01/10/2009,30/11/2016,2617.0,"1,275",,,,,,130,65,,
585,Romford Road/Jnc Katherine Rd,Newham,2157,01/10/2009,30/11/2016,2617.0,"1,269",,,,,,130,65,,
586,Romford Road/Jnc Sprowston Rd E7,Newham,4035,01/10/2009,30/11/2016,2617.0,"1,211",892,,,,,130,65,,
587,Romford Road/Jnc First Ave,Newham,125,01/10/2009,30/11/2016,2617.0,798,,,,,,130,65,,
588,Barking Road/Jnc King St,Newham,2300,01/10/2009,30/11/2016,2617.0,757,,,,,,130,65,,
589,Barking Road/Jnc St Olaves Rd,Newham,7177,01/10/2009,30/11/2016,2617.0,695,198,,,,,130,65,,
590,Barking Road/Jnc Chargeable lane,Newham,2301,01/10/2009,30/11/2016,2617.0,647,,,,,,130,65,,
591,Barking Road/Jnc Claughton Rd,Newham,2304,01/10/2009,30/11/2016,2617.0,519,,,,,,130,65,,
592,Barking Road/Jnc Morgan St E16,Newham,10001,01/10/2009,30/11/2016,2617.0,413,,,,,,130,65,,
593,Romford Road/Jnc Sprowston Rd,Newham,2154,01/10/2009,30/11/2016,2617.0,409,,,,,,130,65,,
594,Romford Road/Jnc Ratcliffe Rd,Newham,2156,01/10/2009,30/11/2016,2617.0,375,,,,,,130,65,,
595,Romford Road/Jnc Herbert Rd,Newham,124,01/10/2009,30/11/2016,2617.0,279,,,,,,130,65,,
596,Romford Road/Jnc Colchester Ave E12,Newham,7127,01/10/2009,30/11/2016,2617.0,238,74,,,,,130,65,,
597,Romford Road/Jnc Norwich Rd,Newham,2153,01/10/2009,30/11/2016,2617.0,166,,,,,,130,65,,
598,High Street E15/Jnc Bridge Rd,Newham,408,01/10/2009,30/11/2016,2617.0,159,,,,,,130,65,,
599,Barking Road/Jnc St Bernards Rd,Newham,2305,01/10/2009,30/11/2016,2617.0,140,,,,,,130,65,,
600,Barking Road/Jnc Adine rd,Newham,2302,01/10/2009,30/11/2016,2617.0,134,,,,,,130,65,,
601,Barking Road/Jnc Hartley Ave,Newham,2307,01/10/2009,30/11/2016,2617.0,120,,,,,,130,65,,
602,Great Eastern Road/Jnc Angel Lane E15,Newham,4015,01/10/2009,30/11/2016,2617.0,109,109,,,,,130,65,,
603,Romford Road/Jnc Oregon Ave,Newham,126,01/10/2009,30/11/2016,2617.0,89,,,,,,130,65,,
604,Romford Road/Jnc First Ave E12,Newham,7125,01/10/2009,30/11/2016,2617.0,56,27,,,,,130,65,,
605,High Street E15/Jnc Chant St,Newham,407,01/10/2009,30/11/2016,2617.0,50,,,,,,130,65,,
606,Great Eastern Road/Jnc Station Rd E15,Newham,4009,01/10/2009,30/11/2016,2617.0,47,35,,,,,130,65,,
607,Romford Road/Jnc Tavistock Rd,Newham,2152,01/10/2009,30/11/2016,2617.0,46,,,,,,130,65,,
608,Romford Road/Jnc Upton Lane,Newham,2155,01/10/2009,30/11/2016,2617.0,45,,,,,,130,65,,
609,High Street North,Newham,7009,01/10/2009,30/11/2016,2617.0,40,12,,,,,130,65,,
610,Barking Road/Jnc Wellington Rd,Newham,2308,01/10/2009,30/11/2016,2617.0,33,,,,,,130,65,,
611,Romford Road/Jnc Dersingham Ave,Newham,128,01/10/2009,30/11/2016,2617.0,31,,,,,,130,65,,
612,Barking Road,Newham,2309,01/10/2009,30/11/2016,2617.0,28,,,,,,130,65,,
613,Barking Road/Jnc Burges Rd,Newham,176,01/10/2009,30/11/2016,2617.0,24,,,,,,130,65,,
614,Great Eastern Road/Jnc Service Route 2,Newham,414,01/10/2009,30/11/2016,2617.0,18,,,,,,130,65,,
615,Barking Road/Adj Rathbone Market E16,Newham,22,01/10/2009,30/11/2016,2617.0,17,,,,,,130,65,,
616,Great Eastern Road E15 /Adj Multi Storey Car Park,Newham,411,01/10/2009,30/11/2016,2617.0,17,,,,,,130,65,,
617,Barking Road/Dickens Rd E6,Newham,175,01/10/2009,30/11/2016,2617.0,16,,,,,,130,65,,
618,Great Eastern Road/Opp Burger King,Newham,413,01/10/2009,30/11/2016,2617.0,16,,,,,,130,65,,
619,Keppel Road E6,Newham,7002,01/10/2009,30/11/2016,2617.0,16,70,,,,,130,65,,
620,Romford Road/Jnc Tennyson Rd,Newham,2151,01/10/2009,30/11/2016,2617.0,14,,,,,,130,65,,
621,Barking Road/Jnc Mary St,Newham,20,01/10/2009,30/11/2016,2617.0,13,,,,,,130,65,,
622,Gower Road,Newham,4072,01/10/2009,30/11/2016,2617.0,13,,,,,,130,65,,
623,Hospital Approach,Newham,1138,01/10/2009,30/11/2016,2617.0,12,,,,,,130,65,,
624,Meridian Sq E15,Newham,4011,01/10/2009,30/11/2016,2617.0,7,7,,,,,130,65,,
625,Romford Road,Newham,67,01/10/2009,30/11/2016,2617.0,7,,,,,,130,65,,
626,High Street North,Newham,7007,01/10/2009,30/11/2016,2617.0,7,6,,,,,130,65,,
627,High Street North,Newham,7008,01/10/2009,30/11/2016,2617.0,7,4,,,,,130,65,,
628,First Avenue,Newham,125,01/10/2009,30/11/2016,2617.0,6,,,,,,130,65,,
629,Theatre Square E15,Newham,4019,01/10/2009,30/11/2016,2617.0,5,5,,,,,130,65,,
630,West Ham Lane/Jnc Victoria St E15,Newham,4005,01/10/2009,30/11/2016,2617.0,4,4,,,,,130,65,,
631,Temple Mill Lane,Newham,4088,01/10/2009,30/11/2016,2617.0,4,,,,,,130,65,,
632,Barking Road/Jnc Beckton Rd,Newham,19,01/10/2009,30/11/2016,2617.0,3,,,,,,130,65,,
633,Barking Road/Jnc Ordnance Rd E16,Newham,21,01/10/2009,30/11/2016,2617.0,3,,,,,,130,65,,
634,West Ham Lane/jnc with Stratford Park E15,Newham,4032,01/10/2009,30/11/2016,2617.0,3,1,,,,,130,65,,
635,West Ham Lane/Jnc Victoria St E15,Newham,405,01/10/2009,30/11/2016,2617.0,3,,,,,,130,65,,
636,Freemasons Road E16,Newham,6161,01/10/2009,30/11/2016,2617.0,3,2,,,,,130,65,,
637,Romford Road/Jnc Herbert Rd E12,Newham,7124,01/10/2009,30/11/2016,2617.0,3,1,,,,,130,65,,
638,Barking Road/Jnc A13,Newham,23,01/10/2009,30/11/2016,2617.0,2,,,,,,130,65,,
639,Woodgrange Road/Jnc Osborne Rd,Newham,4064,01/10/2009,30/11/2016,2617.0,2,,,,,,130,65,,
640,Broadway/Jnc Salway Place e15,Newham,420,01/10/2009,30/11/2016,2617.0,2,,,,,,130,65,,
641,Romford Road/Jnc Upton Lane,Newham,61,01/10/2009,30/11/2016,2617.0,4,,,,,,130,65,,
642,High Street North,Newham,7006,01/10/2009,30/11/2016,2617.0,4,3,,,,,130,65,,
643,Park Avenue E6,Newham,7027,01/10/2009,30/11/2016,2617.0,2,1,,,,,130,65,,
644,Romford Rd /Jnc Little Ilford Lane E12,Newham,7127,01/10/2009,30/11/2016,2617.0,2,74,,,,,130,65,,
645,Sixth Avenue,Newham,126,01/10/2009,30/11/2016,2617.0,1,,,,,,130,65,,
646,Barking Rd/Adj rathbone Market,Newham,22,01/10/2009,30/11/2016,2617.0,1,,,,,,130,65,,
647,Broadway E15,Newham,402,01/10/2009,30/11/2016,2617.0,1,,,,,,130,65,,
648,Grove Crescent Road E15,Newham,4020,01/10/2009,30/11/2016,2617.0,1,4,,,,,130,65,,
649,Romford Road/Jnc Upton Lane/Jnc Woodgrange Rd E12,Newham,4061,01/10/2009,30/11/2016,2617.0,2,1,,,,,130,65,,
650,Upton Lane/Jnc Studley Rd,Newham,4072,01/10/2009,30/11/2016,2617.0,1,,,,,,130,65,,
651,Temple Mill Lane,Newham,4099,01/10/2009,30/11/2016,2617.0,1,1,,,,,130,65,,
652,Romford Road/Jnc Oregon Ave & Sixth Ave E12,Newham,7126,01/10/2009,30/11/2016,2617.0,1,,,,,,130,65,,
653,Barking Road/Jnc Burges Rd E6,Newham,7176,01/10/2009,30/11/2016,2617.0,1,1,,,,,130,65,,
654,Balliol Bus Link,North Tyneside,,13/02/2013,16/11/2016,1372.0,2109,487,,,1.5,,£60.00,£30.00,,
655,"Salter's Lane, Benton",North Tyneside,,26/09/2014,16/11/2016,782.0,4524,2178,,,5.8,,£60.00,£30.00,,
656,"High Flatworth, North Shields",North Tyneside,,18/05/2015,16/11/2016,548.0,5894,3052,,,10.8,,£60.00,£30.00,,
657,"Lynn Road, North Shields",North Tyneside,,13/10/2016,16/11/2016,34.0,751,751,,,22.1,,£60.00,£30.00,,
658,Albion Way,Norwich,NR1 1WX,21/11/2016,06/12/2016,15.0,,,,,0.0,,£60.00,£30.00,,If paid in 14 days
659,"High Street, Oxford",Oxfordshire,OX1 4BJ,26/02/2007,17/11/2016,3552.0,,,,,0.0,,£60.00,£30.00,,If paid in 14 days
660,"Castle Street, Oxford",Oxfordshire,OX1 1AY,26/02/2007,17/11/2016,3552.0,,,,,0.0,,£60.00,£30.00,,If paid in 14 days
661,"Magdalen Street, Oxford",Oxfordshire,OX1 3AA,26/02/2007,17/11/2016,3552.0,,,,,0.0,,£60.00,£30.00,,If paid in 14 days
662,"George Street, Oxford",Oxfordshire,OX1 2AF,26/02/2007,17/11/2016,3552.0,,,,,0.0,,£60.00,£30.00,,If paid in 14 days
663,A329 Kings Road (west to east),Reading,,,,,,"1,477",,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
664,A329 Wokingham Road,Reading,,,,,,"2,431",,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
665,Access Road (northbound),Reading,,,,,,481,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
666,Access Road (southbound),Reading,,,,,,"1,875",,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
667,Basingstoke Road (northbound),Reading,,,,,,"1,047",,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
668,Basingstoke Road (southbound),Reading,,,,,,"6,070",,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
669,Bath Road,Reading,,,,,,911,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
670,Blagrave Street (east to west),Reading,,,,,,5393,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
671,Bridge Street,Reading,,,,,,0,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
672,Friar Street (eastbound),Reading,,,,,,6613,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
673,Friar Street (westbound),Reading,,,,,,8377,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
674,Gun Street,Reading,,,,,,0,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
675,Gweal Avenue (eastbound),Reading,,,,,,39,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
676,Gweal Avenue (westbound),Reading,,,,,,29,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
677,Hemdean Road,Reading,,,,,,4436,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
678,King's Road,Reading,,,,,,790,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
679,Lindesfarne Way (westbound),Reading,,,,,,1008,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
680,Lindesfarne Way (eastbound),Reading,,,,,,1124,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
681,London Street (northern section),Reading,,,,,,8865,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
682,London Street (south),Reading,,,,,,0,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
683,Minster Street (westbound),Reading,,,,,,15246,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
684,Norcot Road (eastbound),Reading,,,,,,946,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
685,Oxford Road,Reading,,,,,,1953,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
686,Southcote Lane,Reading,,,,,,3884,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
687,St Marys Butts (northbound),Reading,,,,,,7254,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
688,Stanshawe Road,Reading,,,,,,3204,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
689,The Forbury,Reading,,,,,,288,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
690,Trooper Potts Way (north to south),Reading,,,,,,545,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
691,Trooper Potts Way (south to north),Reading,,,,,,221,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
692,Vastern Road (east side southbound),Reading,,,,,,5794,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
693,Vastern Road (northside 1),Reading,,,,,,590,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
694,Vastern Road (northside 2),Reading,,,,,,2673,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
695,Vastern Road (west side northbound),Reading,,,,,,1799,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
696,West Street,Reading,,,,,,0,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
697,Middlewood Road,Sheffield,,01/06/2007,28/11/2016,3468.0,56045,5825,,,16.2,"£208,946.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
698,Wicker,Sheffield,,01/01/2008,28/11/2016,3254.0,100506,5964,,,30.9,"£185,329.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
699,Langsett Road,Sheffield,,01/06/2007,28/11/2016,3468.0,29524,3965,,,8.5,"£151,834.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
700,Queens Road,Sheffield,,01/01/2011,28/11/2016,2158.0,12865,881,,,6.0,"£22,344.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
701,Bridge Street,Sheffield,,01/01/2008,28/11/2016,3254.0,8920,826,,,2.7,"£19,263.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
702,Holme Lane,Sheffield,,29/11/2011,28/11/2016,1826.0,3651,492,,,2.0,"£18,173.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
703,Mountway Road,Somerset,TA1 5LR,24/09/2012,31/03/2016,1284.0,,,,,0.0,,£60.00,£30.00,,
704,Ilminster Road,Somerset,TA1 2UH,24/09/2012,31/03/2016,1284.0,,,,,0.0,,£60.00,£30.00,,
705,Champion Park,Southwark,,12/01/2007,12/01/2017,3653.0,,,,,,,130,65,,
706,Denmark Hill,Southwark,,12/01/2007,12/01/2017,3653.0,,,,,,,130,65,,
707,Denmark Hill Opp Orpheus Street,Southwark,,12/01/2007,12/01/2017,3653.0,,,,,,,130,65,,
708,Denmark Hill,Southwark,,12/01/2007,12/01/2017,3653.0,,,,,,,130,65,,
709,Dog Kennel Hill (Northbound) T,Southwark,,12/01/2007,12/01/2017,3653.0,,,,,,,130,65,,
